title,rating,year,poster_path,overview
Karatê Kid: Lendas,7.3,2025,/gnuSSOVBVWlKL8dFEGKRoOiiKTS.jpg,"Após uma tragédia familiar, o prodígio do kung fu Li Fong é forçado a deixar sua casa em Pequim e se mudar para Nova York com sua mãe. Li luta para deixar o passado para trás enquanto tenta se enturmar com seus novos colegas de classe, e, embora não queira brigar, os problemas parecem encontrá-lo por toda parte. Quando um novo amigo precisa de sua ajuda, Li entra em uma competição de karatê – mas suas habilidades sozinhas não são suficientes. O professor de kung fu de Li, Sr. Han, recruta o lendário Karatê Kid original, Daniel LaRusso, para ajudá-lo, e Li aprende uma nova forma de lutar, combinando seus dois estilos em um confronto épico de artes marciais."
Bailarina - Do Universo de John Wick,7.4,2025,/by5hjYJp3OJ8GW118kPeURp1rFo.jpg,"Bailarina  se passa durante os eventos de ‘John Wick 3: Parabellum‘ e acompanha Eve Macarro (Ana de Armas), que está começando seu treinamento nas tradições da organização Ruska Roma para se tornar uma assassina que buscará vingança contra aqueles que destruíram sua família.  O longa ainda conta com Anjelica Huston, Gabriel Byrne, Lance Reddick, Catalina Sandino Moreno e Norman Reedus no elenco, com participações de Ian McShane e Keanu Reeves."
Superman,7.5,2025,/30fNMmjk183FbyzURlrDCmMHTgk.jpg,"Superman, um jovem repórter de Metrópolis, embarca em uma jornada para reconciliar sua herança kryptoniana com sua criação humana como Clark Kent."
Missão Resgate 2: Vingança,7.0,2025,/itdNqDsYsqLhuqLObEIaeejQLmM.jpg,"Mike viaja ao Nepal para espalhar as cinzas de seu falecido irmão no Monte Everest. Quando Mike e sua guia de montanha encontram mercenários em um ônibus turístico, eles são forçados a lutar para salvar a si mesmos, aos passageiros e à terra natal dos moradores locais."
Os Bad Boas,5.2,2025,/sCMbtE4Owgbgndty07jCA7wH08F.jpg,"Um investigador dedicado e um ex-policial imprudente são obrigados a trabalhar juntos, causando um verdadeiro caos nas ruas de Roterdã."
The Old Guard 2,6.1,2025,/wqfu3bPLJaEWJVk3QOm0rKhxf1A.jpg,Andy e sua equipe de guerreiros imortais enfrentam uma nova ameaça poderosa que põe em risco a missão do grupo de proteger a humanidade.
Chefes de Estado,7.0,2025,/kSWYR3yqlbOIJdqRop970ce5mBS.jpg,"O primeiro-ministro do Reino Unido e o presidente dos EUA têm uma rivalidade pública que ameaça a aliança de seus países. Quando se tornam o alvo de um inimigo poderoso, eles precisam confiar um no outro e embarcar numa fuga internacional. Com a ajuda de Noel, uma brilhante agente do MI6, eles devem deter uma conspiração que ameaça o mundo livre."
Jurassic World: Recomeço,6.4,2025,/g81Wxr9rskMsmKx3RoPZP6PnlkX.jpg,"Este novo capítulo cheio de ação acompanha uma equipe intrépida que corre contra o tempo para obter amostras de DNA das três criaturas mais colossais da terra, do mar e do ar. Cinco anos após os eventos de Jurassic World: Domínio, a ecologia do planeta se mostrou amplamente inóspita para os dinossauros. Os remanescentes existem em ambientes equatoriais isolados, com climas semelhantes àqueles nos quais prosperaram no passado. As três criaturas mais colossais dessa biosfera tropical possuem a chave para um medicamento com benefícios milagrosos que podem salvar vidas humanas."
Thunderbolts*,7.4,2025,/6xNX6f1HIq2cQA63vLDEiOqpeTS.jpg,"Depois de se verem presos em uma armadilha mortal, uma equipe não convencional de anti-heróis deve embarcar em uma missão perigosa que os forçará a confrontar os cantos mais sombrios de seus passados."
Com Unhas e Dentes,6.8,2025,/1RupRaRI3hrfT4iE5sRiD4i76WG.jpg,"Para sobreviver a um terrível exército de zumbis, um ex-lutador precisa usar toda sua garra, habilidade e velocidade. O objetivo? Salvar a própria vida e a da namorada."
